Date,PROD_SET,Customer_ID,Account_Number,Balance_Amount,Currency,Rate_of_Interest,Maturity_Date,Bank_Branch_Code,Form_Fill_Status
2024-01-01,DEPOSIT,319012,168458048220,2200.56,GBP,0.0392,2026-08-07,BRN002,Complete
2024-01-01,DEPOSIT,396381,713122251798,21811.88,USD,0.0151,2026-09-13,BRN003,Complete
2024-01-01,DEPOSIT,179987,3121826931,6407.5,USD,0.0195,2024-04-03,BRN008,Complete
2024-01-01,DEPOSIT,655252,9234002817,498.38,USD,0.0368,2025-07-31,BRN009,Complete
2024-01-01,DEPOSIT,461754,5311832258,4089.12,GBP,0.0456,2028-08-29,BRN010,Complete
2024-01-01,DEPOSIT,367476,688905883144,11746.98,JPY,0.0242,2027-04-01,BRN005,Complete
2024-01-01,DEPOSIT,859461,778071427853,1631.38,EUR,0.0133,2027-07-04,BRN005,Complete
2024-01-01,DEPOSIT,409698,1755985543,5187.62,EUR,0.0162,2027-02-08,BRN005,Complete
2024-01-01,DEPOSIT,314727,4569353634,1456.2,USD,0.0281,2025-05-15,BRN004,Error
2024-01-01,DEPOSIT,939912,1264584332,2601.63,USD,0.0168,2026-04-20,BRN007,Complete
2024-01-01,DEPOSIT,294051,1925216513,2746.08,USD,0.0333,2026-03-18,BRN001,Complete
2024-01-01,DEPOSIT,250815,690931038994,25856.43,USD,0.023,2025-12-25,BRN006,Complete
2024-01-01,DEPOSIT,567628,200545805785,2897.39,USD,0.0119,2027-06-14,BRN007,Complete
2024-01-01,DEPOSIT,409498,2212320876,2140.95,USD,0.0212,2028-09-18,BRN009,Complete
2024-01-01,DEPOSIT,584276,1793643997,1721.45,USD,0.0285,2028-11-22,BRN007,Complete
2024-01-01,DEPOSIT,586758,2450399917,6906.45,USD,0.0192,2024-05-07,BRN002,Complete
2024-01-01,DEPOSIT,591824,3335504794,14549.14,GBP,0.0211,2027-09-11,BRN009,Complete
2024-01-01,DEPOSIT,618096,5005621740,2819.84,JPY,0.0418,2027-11-12,BRN002,Complete
2024-01-01,DEPOSIT,377842,5724504763,23626.55,JPY,0.0344,2024-04-18,BRN002,Complete
2024-01-01,DEPOSIT,205463,796469751427,1224.51,USD,0.0282,2027-08-27,BRN002,Complete
2024-01-01,DEPOSIT,767777,628402551114,5678.42,CAD,0.0206,2025-04-24,BRN002,Complete
2024-01-01,DEPOSIT,919386,694174258690,2354.55,EUR,0.0113,2026-10-26,BRN006,Error
2024-01-01,DEPOSIT,525455,508981663975,2479.85,USD,0.0173,2027-07-14,BRN004,Complete
2024-01-01,DEPOSIT,429244,728938454062,563.74,EUR,0.0144,2027-01-02,BRN002,Complete
2024-01-01,DEPOSIT,794941,476618251686,1580.73,EUR,0.0213,2027-09-12,BRN007,Complete
2024-01-01,DEPOSIT,986645,7142052242,5807.82,CAD,0.0101,2026-08-07,BRN008,Complete
2024-01-01,DEPOSIT,731061,8501412447,20440.37,JPY,0.0403,2024-03-29,BRN007,Complete
2024-01-01,DEPOSIT,812416,6730924057,151330.6,CAD,0.0273,2027-10-19,BRN010,Complete
2024-01-01,DEPOSIT,121266,883074883672,1561.51,EUR,0.0306,2025-09-17,BRN006,Complete
2024-01-01,DEPOSIT,319970,263076075603,442.07,USD,0.038,2028-03-03,BRN004,Complete
2024-01-01,DEPOSIT,998279,9701115076,1874.0,CAD,0.0233,2026-07-07,BRN002,Complete
2024-01-01,DEPOSIT,768012,8244021356,22905.23,USD,0.0195,2028-07-04,BRN001,Complete
2024-01-01,DEPOSIT,738912,9895226244,16465.47,USD,0.0256,2025-06-24,BRN006,Complete
2024-01-01,DEPOSIT,142608,556515674523,583.46,JPY,0.0298,2027-01-31,BRN010,Complete
2024-01-01,DEPOSIT,265764,634088775646,11032.51,USD,0.0253,2025-01-29,BRN008,Complete
2024-01-01,DEPOSIT,654955,302053707073,56900.11,CAD,0.0489,2025-03-19,BRN003,Complete
2024-01-01,DEPOSIT,954666,887725540681,2043.39,JPY,0.0436,2024-04-01,BRN002,Complete
2024-01-01,DEPOSIT,603511,1193224249,5799.22,JPY,0.0356,2028-07-01,BRN003,Complete
2024-01-01,DEPOSIT,147929,8127757362,1879.06,USD,0.0102,2026-10-03,BRN001,Complete
2024-01-01,DEPOSIT,486321,103053982786,24568.51,JPY,0.0395,2026-12-18,BRN004,Complete
2024-01-01,DEPOSIT,551911,799930411322,22860.05,GBP,0.0315,2025-06-16,BRN004,Complete
2024-01-02,DEPOSIT,323415,5174945194,3820.08,EUR,0.0426,2028-06-02,BRN010,Complete
2024-01-02,DEPOSIT,180789,8616228744,21910.73,GBP,0.0164,2027-03-25,BRN001,Complete
2024-01-02,DEPOSIT,944993,3067604611,7087.47,JPY,0.0497,2025-12-07,BRN006,Complete
2024-01-02,DEPOSIT,444335,9491880385,22960.21,USD,0.0188,2027-06-05,BRN005,Complete
2024-01-02,DEPOSIT,468199,212955682382,5443.15,EUR,0.0278,2024-03-19,BRN009,Complete
2024-01-02,DEPOSIT,116714,5776206449,751.37,EUR,0.0477,2026-07-13,BRN009,Complete
2024-01-02,DEPOSIT,531855,7752176667,59673.08,CAD,0.0143,2025-09-28,BRN005,Complete
2024-01-02,DEPOSIT,307346,427646043832,8927.26,EUR,0.043,2028-10-13,BRN005,Complete
2024-01-02,DEPOSIT,308271,9620994951,731.71,GBP,0.0225,2025-03-01,BRN002,Complete
2024-01-02,DEPOSIT,934771,536783941136,3367.44,USD,0.0492,2025-08-22,BRN005,Complete
2024-01-02,DEPOSIT,144896,3504726594,17433.4,USD,0.0442,2028-03-13,BRN007,Complete
2024-01-02,DEPOSIT,560310,802401388828,65988.43,USD,0.022,2027-11-15,BRN010,Complete
2024-01-02,DEPOSIT,569205,5372858556,8195.96,USD,0.0121,2026-08-18,BRN005,Complete
2024-01-02,DEPOSIT,971552,7592550467,1530.17,GBP,0.0408,2028-06-17,BRN006,Complete
2024-01-02,DEPOSIT,136492,392485550947,5173.1,USD,0.0468,2026-12-30,BRN003,Complete
2024-01-02,DEPOSIT,676973,8767086023,12298.52,GBP,0.0362,2025-06-22,BRN004,Complete
2024-01-02,DEPOSIT,602840,809797857803,1469.57,CAD,0.0421,2025-09-28,BRN007,Complete
2024-01-02,DEPOSIT,672689,208474609624,5155.06,EUR,0.0165,2024-12-15,BRN010,Complete
2024-01-02,DEPOSIT,750578,8319608302,588.15,EUR,0.0138,2025-04-05,BRN001,Complete
2024-01-02,DEPOSIT,263677,963372994235,24185.38,USD,0.0468,2028-05-23,BRN005,Complete
2024-01-02,DEPOSIT,777006,8657668734,626.18,USD,0.0224,2028-04-13,BRN008,Complete
2024-01-02,DEPOSIT,389101,198020713671,26691.06,USD,0.0245,2026-09-20,BRN002,Complete
2024-01-02,DEPOSIT,575076,582858547649,2447.99,USD,0.0294,2028-10-17,BRN006,Complete
2024-01-02,DEPOSIT,320292,4182472263,31090.65,GBP,0.0283,2025-12-07,BRN004,Complete
2024-01-02,DEPOSIT,270247,271895978139,6906.42,USD,0.0281,2025-08-18,BRN003,Complete
2024-01-02,DEPOSIT,137010,5905513799,8647.04,USD,0.029,2024-09-15,BRN006,Error
2024-01-02,DEPOSIT,372395,5791336678,96070.62,EUR,0.0235,2024-02-07,BRN005,Complete
2024-01-02,DEPOSIT,122343,3778544330,90019.68,USD,0.041,2027-09-15,BRN009,Complete
2024-01-02,DEPOSIT,171734,224396503289,1021.58,GBP,0.0467,2027-10-03,BRN002,Complete
2024-01-02,DEPOSIT,196485,4810900256,25505.45,USD,0.0294,2024-07-11,BRN005,Complete
2024-01-02,DEPOSIT,738931,256516232884,6785.86,EUR,0.0256,2027-01-27,BRN002,Complete
2024-01-02,DEPOSIT,396529,601778719410,2760.53,EUR,0.0446,2025-11-11,BRN006,Complete
2024-01-02,DEPOSIT,138848,743170209614,919.37,CAD,0.0154,2026-10-01,BRN008,Complete
2024-01-02,DEPOSIT,836034,157612850679,377.61,USD,0.0115,2028-02-21,BRN005,Complete
2024-01-02,DEPOSIT,200338,322164335066,27548.48,USD,0.0271,2027-03-24,BRN007,Complete
2024-01-02,DEPOSIT,865427,1734874409,14660.41,EUR,0.0313,2025-05-16,BRN003,Complete
2024-01-02,DEPOSIT,900415,173809624760,4211.62,USD,0.0285,2025-10-01,BRN007,Complete
2024-01-02,DEPOSIT,122706,4889776096,2324.64,GBP,0.0168,2028-08-28,BRN006,Complete
2024-01-02,DEPOSIT,336905,5969319291,8910.42,USD,0.0473,2025-04-07,BRN007,Complete
2024-01-02,DEPOSIT,828271,197182707426,6189.45,USD,0.0467,2025-01-15,BRN001,Complete
2024-01-02,DEPOSIT,120357,702181174439,1215.16,EUR,0.0305,2024-05-21,BRN010,Complete
2024-01-02,DEPOSIT,149877,996633794231,62704.49,USD,0.0198,2025-08-08,BRN004,Complete
2024-01-02,DEPOSIT,763391,8310161269,9002.04,USD,0.0321,2028-05-07,BRN002,Complete
2024-01-02,DEPOSIT,781113,3958150035,8543.74,USD,0.0436,2027-08-25,BRN003,Complete
2024-01-02,DEPOSIT,980629,7679538625,313093.32,CAD,0.0132,2028-01-25,BRN001,Complete
2024-01-02,DEPOSIT,177137,623992712213,401.81,JPY,0.0474,2025-09-27,BRN010,Complete
2024-01-02,DEPOSIT,372819,119090622987,2738.17,USD,0.0473,2027-06-09,BRN003,Complete
2024-01-02,DEPOSIT,532523,9087597769,14607.04,USD,0.0165,2028-10-25,BRN010,Complete
2024-01-02,DEPOSIT,326063,719372996541,14935.74,JPY,0.0438,2024-06-08,BRN006,Complete
2024-01-02,DEPOSIT,923410,495816171086,25807.24,GBP,0.021,2027-11-24,BRN008,Complete
2024-01-02,DEPOSIT,709539,5324818732,892.43,JPY,0.0479,2028-02-01,BRN001,Complete
2024-01-02,DEPOSIT,842923,1043615613,4004.45,GBP,0.0422,2025-08-20,BRN004,Complete
2024-01-02,DEPOSIT,986690,7781797596,12657.14,USD,0.0347,2024-02-01,BRN010,Complete
2024-01-02,DEPOSIT,451041,1347794644,6090.61,USD,0.0179,2026-10-15,BRN008,Complete
2024-01-02,DEPOSIT,468988,5528919360,4657.66,USD,0.0353,2028-05-07,BRN003,Complete
2024-01-02,DEPOSIT,929910,740169471037,1542.23,USD,0.0162,2024-08-16,BRN005,Complete
2024-01-02,DEPOSIT,812864,5043368997,4522.14,USD,0.0246,2028-11-01,BRN008,Complete
2024-01-02,DEPOSIT,665361,262056942334,10940.27,USD,0.0139,2027-05-26,BRN009,Complete
2024-01-02,DEPOSIT,924661,2308282777,2169.98,USD,0.0212,2027-04-04,BRN005,Complete
2024-01-02,DEPOSIT,101628,612276044232,12924.22,EUR,0.0162,2024-12-17,BRN003,Complete
2024-01-02,DEPOSIT,959948,1757218911,5911.68,EUR,0.0309,2028-09-10,BRN005,Complete
2024-01-02,DEPOSIT,933324,8641541708,3864.92,USD,0.0368,2026-01-16,BRN007,Complete
2024-01-02,DEPOSIT,701699,681832472275,21280.04,USD,0.0167,2024-12-21,BRN008,Error
2024-01-02,DEPOSIT,265835,353723778886,4312.66,USD,0.0355,2027-02-23,BRN001,Complete
2024-01-02,DEPOSIT,503517,601206858365,1629.88,GBP,0.035,2026-01-02,BRN007,Complete
2024-01-02,DEPOSIT,821491,290360543203,1443.7,USD,0.0119,2027-11-10,BRN005,Complete
2024-01-02,DEPOSIT,576075,4037029057,881.7,USD,0.0371,2027-08-02,BRN010,Complete
2024-01-02,DEPOSIT,412595,439941359734,10816.52,USD,0.0226,2027-09-01,BRN001,Complete
2024-01-02,DEPOSIT,488774,5786723050,19029.93,GBP,0.0106,2028-04-10,BRN010,Complete
2024-01-02,DEPOSIT,725608,395338691591,12678.89,USD,0.0293,2025-07-25,BRN002,Complete
2024-01-02,DEPOSIT,109589,6448448826,3471.07,GBP,0.0245,2026-08-27,BRN005,Complete
2024-01-02,DEPOSIT,856533,7396831091,28112.04,USD,0.0416,2026-06-24,BRN005,Complete
2024-01-02,DEPOSIT,997683,6322579459,17301.67,CAD,0.0327,2028-06-06,BRN008,Complete
2024-01-02,DEPOSIT,967065,1745044696,799.47,EUR,0.0178,2024-09-19,BRN009,Complete
2024-01-02,DEPOSIT,731944,602231319124,4935.53,EUR,0.037,2025-09-17,BRN001,Complete
2024-01-02,DEPOSIT,190907,991028347242,8241.77,USD,0.0405,2028-07-29,BRN003,Complete
2024-01-02,DEPOSIT,345567,5508744023,3955.2,GBP,0.0364,2027-09-24,BRN006,Complete
2024-01-02,DEPOSIT,595650,4430518764,6742.18,GBP,0.0224,2028-05-30,BRN008,Complete
2024-01-02,DEPOSIT,168453,127619791512,3259.57,EUR,0.0176,2026-05-10,BRN005,Complete
2024-01-02,DEPOSIT,366497,5674405177,10787.53,CAD,0.0354,2028-12-18,BRN002,Complete
2024-01-03,DEPOSIT,700450,3973036051,1167.33,USD,0.0361,2028-08-17,BRN003,Complete
2024-01-03,DEPOSIT,432045,977176620269,18194.64,USD,0.0179,2027-06-12,BRN008,Complete
2024-01-03,DEPOSIT,388720,3853872344,3796.12,USD,0.0378,2025-07-12,BRN002,Error
2024-01-03,DEPOSIT,405845,3918913274,4051.48,USD,0.0428,2024-02-07,BRN008,Complete
2024-01-03,DEPOSIT,183661,1377205449,88136.73,GBP,0.0226,2026-02-20,BRN004,Complete
2024-01-03,DEPOSIT,542159,360666471867,1818.88,JPY,0.0477,2027-04-05,BRN008,Complete
2024-01-03,DEPOSIT,561210,671266792078,5537.2,USD,0.0469,2027-10-10,BRN007,Complete
2024-01-03,DEPOSIT,651756,4892008720,15239.11,USD,0.0407,2028-11-19,BRN008,Error
2024-01-03,DEPOSIT,486998,309615879986,3750.14,USD,0.0277,2024-11-08,BRN009,Complete
2024-01-03,DEPOSIT,401267,345102213965,17238.32,USD,0.0356,2027-12-17,BRN002,Complete
2024-01-03,DEPOSIT,617488,952538418153,3800.46,JPY,0.0371,2028-05-29,BRN008,Complete
2024-01-03,DEPOSIT,866896,9198502158,9848.01,EUR,0.0123,2024-08-03,BRN006,Complete
2024-01-03,DEPOSIT,696887,3371322399,43221.98,USD,0.0243,2024-05-16,BRN005,Complete
2024-01-03,DEPOSIT,857001,106942676712,4435.23,USD,0.0179,2027-11-11,BRN004,Complete
2024-01-03,DEPOSIT,352038,4285568080,4285.34,USD,0.0289,2026-10-26,BRN004,Complete
2024-01-03,DEPOSIT,237075,677206613503,9137.03,USD,0.0419,2025-10-19,BRN004,Complete
2024-01-03,DEPOSIT,504240,5718158041,21340.66,USD,0.0168,2026-07-06,BRN008,Complete
2024-01-03,DEPOSIT,379317,9875423290,26923.71,GBP,0.0133,2026-02-12,BRN005,Complete
2024-01-03,DEPOSIT,862155,239538330001,33755.19,USD,0.0498,2024-09-10,BRN001,Complete
2024-01-03,DEPOSIT,423338,5184185130,2149.64,USD,0.0448,2026-01-23,BRN008,Complete
2024-01-03,DEPOSIT,745398,2474706326,3589.4,USD,0.031,2025-10-18,BRN003,Complete
2024-01-03,DEPOSIT,605787,464176325723,3764.44,USD,0.0325,2027-09-04,BRN005,Complete
2024-01-03,DEPOSIT,688501,268483035531,11647.37,USD,0.0376,2025-03-01,BRN005,Complete
2024-01-03,DEPOSIT,757469,8734192170,306905.33,USD,0.0216,2024-10-13,BRN010,Complete
2024-01-03,DEPOSIT,311820,4578808390,1194.7,EUR,0.0355,2027-12-15,BRN009,Complete
2024-01-03,DEPOSIT,129145,9194517758,4202.85,USD,0.0425,2027-12-27,BRN009,Error
2024-01-03,DEPOSIT,964367,165735529831,19123.52,EUR,0.0294,2026-01-29,BRN005,Complete
2024-01-03,DEPOSIT,180195,784596821497,133943.87,USD,0.0322,2026-06-11,BRN008,Complete
2024-01-03,DEPOSIT,383418,692680349146,10452.3,EUR,0.0231,2026-10-30,BRN003,Complete
2024-01-03,DEPOSIT,298311,7978462469,1589.19,USD,0.0475,2024-08-14,BRN006,Complete
2024-01-03,DEPOSIT,897419,727369523233,946.97,USD,0.0243,2024-05-29,BRN006,Complete
2024-01-03,DEPOSIT,752891,6745199488,26373.12,USD,0.0336,2027-11-14,BRN010,Complete
2024-01-03,DEPOSIT,260852,2863359695,102267.62,USD,0.0285,2024-12-25,BRN009,Complete
2024-01-03,DEPOSIT,282643,923848912807,152681.51,CAD,0.0113,2025-04-18,BRN005,Error
2024-01-03,DEPOSIT,948970,492782260597,7272.32,JPY,0.0116,2025-09-22,BRN001,Complete
2024-01-03,DEPOSIT,472468,321273795807,13390.76,CAD,0.0489,2028-05-25,BRN006,Complete
2024-01-03,DEPOSIT,712579,433736744456,18585.17,USD,0.0374,2024-08-09,BRN006,Complete
2024-01-03,DEPOSIT,592937,140543317688,2229.66,USD,0.0429,2028-08-08,BRN007,Complete
2024-01-03,DEPOSIT,790988,4924025312,107905.17,EUR,0.0418,2027-07-31,BRN002,Complete
2024-01-03,DEPOSIT,130900,6040572375,4161.7,USD,0.0111,2024-06-20,BRN003,Complete
2024-01-03,DEPOSIT,898203,4288968087,1574.31,USD,0.0196,2025-01-22,BRN003,Complete
2024-01-03,DEPOSIT,298993,2215055540,3249.09,EUR,0.0386,2028-09-28,BRN001,Complete
2024-01-03,DEPOSIT,952893,765484932352,2199.12,CAD,0.0427,2026-02-28,BRN008,Complete
2024-01-03,DEPOSIT,925421,2374254602,4702.92,USD,0.0414,2028-08-31,BRN002,Error
2024-01-04,DEPOSIT,389141,9834517416,9254.79,USD,0.0248,2027-06-21,BRN003,Complete
2024-01-04,DEPOSIT,884538,9893501571,2525.68,JPY,0.0388,2026-12-24,BRN009,Complete
2024-01-04,DEPOSIT,915920,5214530604,161.82,CAD,0.0279,2024-02-18,BRN005,Complete
2024-01-04,DEPOSIT,996184,459913674977,12132.73,USD,0.0467,2028-07-01,BRN009,Complete
2024-01-04,DEPOSIT,122975,5645604961,20561.88,JPY,0.0345,2028-09-24,BRN010,Complete
2024-01-04,DEPOSIT,303183,459150637947,2360.09,USD,0.0231,2028-06-08,BRN004,Complete
2024-01-04,DEPOSIT,203197,5804815268,28547.53,USD,0.0143,2025-05-29,BRN009,Complete
2024-01-04,DEPOSIT,992162,389568255477,34215.51,JPY,0.0353,2025-04-26,BRN002,Complete
2024-01-04,DEPOSIT,930427,838823476623,99849.18,GBP,0.0374,2027-07-19,BRN009,Complete
2024-01-04,DEPOSIT,299204,6049455186,11063.27,CAD,0.0465,2024-06-17,BRN008,Complete
2024-01-04,DEPOSIT,185894,349353409852,12698.51,USD,0.0243,2028-12-17,BRN008,Complete
2024-01-04,DEPOSIT,419239,292296323490,592.99,USD,0.0371,2027-01-15,BRN008,Complete
2024-01-04,DEPOSIT,442613,802125530077,12186.02,USD,0.0108,2025-12-07,BRN007,Complete
2024-01-04,DEPOSIT,802014,952730683016,6284.53,USD,0.0141,2026-11-22,BRN009,Complete
2024-01-04,DEPOSIT,962621,7052109535,5525.16,USD,0.0154,2028-11-08,BRN009,Complete
2024-01-04,DEPOSIT,359553,4042933125,46152.78,CAD,0.0256,2025-04-11,BRN001,Complete
2024-01-04,DEPOSIT,619817,8085022290,20366.58,EUR,0.0442,2028-06-28,BRN005,Complete
2024-01-04,DEPOSIT,240920,8530855696,92393.25,USD,0.0176,2024-05-24,BRN005,Complete
2024-01-04,DEPOSIT,299718,639428190650,19153.02,USD,0.0235,2024-10-30,BRN006,Complete
2024-01-04,DEPOSIT,316421,8357289726,1451.29,USD,0.0433,2026-12-02,BRN010,Complete
2024-01-04,DEPOSIT,555433,442524538845,1927.45,USD,0.0403,2024-08-17,BRN008,Complete
2024-01-04,DEPOSIT,631464,2133641714,2937.63,CAD,0.0422,2025-01-01,BRN002,Complete
2024-01-04,DEPOSIT,698203,437001087108,35031.73,USD,0.0473,2027-06-22,BRN003,Complete
2024-01-04,DEPOSIT,145663,6996025223,22917.53,CAD,0.0319,2024-07-16,BRN007,Complete
2024-01-04,DEPOSIT,893220,3857629779,2206.42,USD,0.0243,2026-11-27,BRN001,Complete
2024-01-04,DEPOSIT,293186,324149983383,10067.81,EUR,0.0284,2027-05-04,BRN006,Complete
2024-01-04,DEPOSIT,368426,676014293121,47589.76,EUR,0.0482,2026-09-10,BRN004,Complete
2024-01-04,DEPOSIT,617199,195723759281,9952.87,USD,0.0221,2025-11-30,BRN004,Complete
2024-01-04,DEPOSIT,367519,317556225377,19990.86,JPY,0.0396,2026-08-22,BRN004,Complete
2024-01-04,DEPOSIT,380754,556862818480,3564.19,EUR,0.0307,2026-06-13,BRN009,Complete
2024-01-04,DEPOSIT,218781,5709285099,6980.71,USD,0.017,2024-03-02,BRN005,Complete
2024-01-04,DEPOSIT,232412,1055168977,1572.4,USD,0.0417,2026-06-01,BRN001,Complete
2024-01-04,DEPOSIT,616686,680394928212,717692.62,USD,0.0387,2028-05-12,BRN003,Complete
2024-01-04,DEPOSIT,272710,401885835755,8052.77,USD,0.0443,2026-05-30,BRN004,Complete
2024-01-04,DEPOSIT,862471,990601190951,33443.3,USD,0.042,2024-06-02,BRN008,Complete
2024-01-04,DEPOSIT,435663,762479784437,8014.24,EUR,0.0433,2025-07-20,BRN007,Complete
2024-01-04,DEPOSIT,993777,380603601000,37155.2,EUR,0.023,2025-11-01,BRN006,Complete
2024-01-04,DEPOSIT,394232,221066921283,4366.91,USD,0.0187,2025-08-01,BRN001,Complete
2024-01-04,DEPOSIT,211318,527858378827,17225.29,EUR,0.0135,2027-06-08,BRN007,Error
2024-01-04,DEPOSIT,782720,648064192922,70483.27,EUR,0.0293,2028-07-19,BRN007,Complete
2024-01-04,DEPOSIT,174063,546560044752,5366.91,USD,0.0244,2025-04-18,BRN004,Complete
2024-01-04,DEPOSIT,453059,9540148399,7199.03,CAD,0.0345,2028-06-03,BRN002,Complete
2024-01-04,DEPOSIT,408805,1975451045,38180.43,USD,0.0111,2028-11-05,BRN001,Complete
2024-01-04,DEPOSIT,698378,2428295362,9870.43,USD,0.0242,2026-01-14,BRN005,Complete
2024-01-04,DEPOSIT,861303,1737477253,2529.56,GBP,0.0238,2025-03-14,BRN010,Complete
2024-01-04,DEPOSIT,146185,8692601574,83199.1,USD,0.045,2026-03-20,BRN010,Complete
2024-01-04,DEPOSIT,168105,557842313585,57775.43,CAD,0.0252,2027-09-11,BRN008,Complete
2024-01-04,DEPOSIT,451445,924974015001,2264.31,EUR,0.0109,2024-10-04,BRN010,Complete
2024-01-04,DEPOSIT,540836,651211617361,3174.64,JPY,0.0198,2025-12-23,BRN005,Complete
2024-01-04,DEPOSIT,813608,393739616127,18248.18,USD,0.0167,2027-04-28,BRN007,Complete
2024-01-04,DEPOSIT,804240,728875989746,81241.58,EUR,0.038,2027-11-16,BRN008,Complete
2024-01-04,DEPOSIT,885643,2124344682,627.72,USD,0.0271,2027-08-28,BRN005,Complete
2024-01-04,DEPOSIT,966395,4294961094,1822.58,USD,0.0154,2027-10-17,BRN010,Complete
2024-01-04,DEPOSIT,124381,4730714710,6550.4,USD,0.0203,2028-01-07,BRN010,Complete
2024-01-04,DEPOSIT,490874,335281232842,571.1,CAD,0.0114,2026-11-16,BRN008,Complete
2024-01-04,DEPOSIT,663903,9187473396,5005.61,USD,0.0198,2028-05-31,BRN001,Error
2024-01-04,DEPOSIT,546072,9115217163,17633.37,USD,0.0101,2025-05-16,BRN007,Complete
2024-01-04,DEPOSIT,262282,9825005001,2546.38,USD,0.032,2025-10-05,BRN003,Complete
2024-01-04,DEPOSIT,989965,4736331415,50833.75,USD,0.0462,2025-07-22,BRN007,Complete
2024-01-04,DEPOSIT,214831,2734802648,24168.36,EUR,0.0101,2024-03-15,BRN003,Complete
2024-01-04,DEPOSIT,836065,5563009065,88641.71,USD,0.039,2024-12-18,BRN001,Complete
2024-01-04,DEPOSIT,463716,863373215912,11453.49,GBP,0.0291,2025-03-18,BRN004,Complete
2024-01-04,DEPOSIT,338637,944282163212,3331.11,GBP,0.0348,2026-09-14,BRN010,Complete
2024-01-04,DEPOSIT,164660,540309619330,3229.86,USD,0.04,2027-01-13,BRN004,Complete
2024-01-04,DEPOSIT,998619,963011193474,10366.33,USD,0.0238,2028-12-30,BRN003,Complete
2024-01-04,DEPOSIT,462633,246370164499,2438.12,USD,0.0257,2025-04-23,BRN001,Complete
2024-01-04,DEPOSIT,499961,445901442115,117327.17,JPY,0.0324,2027-09-20,BRN010,Complete
2024-01-04,DEPOSIT,917875,958879779838,515.8,EUR,0.021,2025-08-24,BRN010,Complete
2024-01-04,DEPOSIT,178755,6810773037,42041.49,JPY,0.0204,2028-06-04,BRN008,Complete
2024-01-04,DEPOSIT,999696,5560628273,6470.69,USD,0.0255,2028-11-12,BRN004,Complete
2024-01-04,DEPOSIT,653300,146736775026,11253.14,JPY,0.0155,2026-06-06,BRN006,Complete
2024-01-04,DEPOSIT,711905,8626651466,11624.44,USD,0.0256,2027-04-03,BRN005,Complete
